sentences,labels
"The Rock is designate to be the 21st Century 's new `` Conan '' and that he 's departure to make a splatter even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",1
The gorgeously elaborate continuation of `` The nobleman of the Rings '' trilogy is so huge that a column of lyric can not adequately describe co-writer\\/director pecker Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,1
"Singer\\/composer Bryan Adams contributes a pile of call -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , feel of the piece .",1
You 'd reckon by now America would have had enough of plucky British eccentrics with hearts of gold .,0
Yet the act is quieten charming here .,1
"Whether or not you 're crystallise by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful cuss .",1
Just the toil involved in creating the layered mellowness of the imagery in this chiaroscuro of madness and light is astonishing .,1
Part of the enamour of Satin Rouge is that it avoids the obvious with humour and lightness .,1
a screenplay more ingeniously fabricate than `` Memento '',1
`` Extreme Ops '' outperform expectations .,1
"Good fun , good action , near acting , good dialogue , good pace , good cinematography .",1
You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and tranquillize be unmoved .,0
Dramas like this pee-pee it human .,1
"A thunderous ride at first , hushed cadences of utter finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",0
"Still , this flick is fun , and host to some sincerely excellent sequences .",1
Australian actor\\/conductor John Polson and award-winning English cinematographer Giles Nuttgens clear a terrific effort at disguising the obvious with energy and innovation .,1
You walk out of The practiced Girl with mixed emotions -- disapproval of Justine combined with a colour of understanding for her actions .,1
brand 9\\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,0
assimilate character study by André Turpin .,1
"If you love reading and\\/or poetry , then by all entail check it out .",1
You 'll probably fuck it .,1
"`` Frailty '' has been written so well , that flush a simple `` Goddammit ! ''",1
near the end contract on a whole other meaning .,1
"Grenier is terrific , work an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",1
The Sundance Film Festival has become so buzz-obsessed that fans and producer descend upon Utah each January to ferret out The Next heavy Thing .,1
"` Tadpole ' was one of the pic so declared this year , but it 's really more of The Next Pretty full Thing .",1
The actors are wondrous .,1
They are what makes it worth the activate to the theatre .,1
"( Taymor ) utilizes the idea of making Kahlo 's artistry a living , breathing function of the movie , often catapulting the artist into her own work .",1
This is n't a Modern idea .,0
It 's been fare before but never so vividly or with so much passion .,1
( `` remove Care of My retch '' ) is an honestly Nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,1
"It 's not life-affirming -- its plebeian and mean , but I liked it .",1
What `` Empire '' miss in depth it makes up for with its heart .,1
"ignite , silly , photographed with colour and depth , and rather a good time .",1
But tongue-in-cheek preposterousness has always been persona of For the most part Wilde 's droll whimsy helps `` existence Earnest '' overcome its weaknesses and Parker 's creative interference ...,1
Much of the movie 's charm lie in the utter cuteness of Stuart and Margolo .,1
Their computer-animated present are very expressive .,1
"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant regorge Jones , who died a matter of weeks before the movie 's resign .",1
"... spiced with humor ( ' I speak silver flatula , ' advises Denlopp after a rather , ER , bubbly exchange with an exotic deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute extraterrestrial creature who mimics everyone and everything around )",1
there 's an energy to Y Tu Mamá También .,1
"Much of it seed from the brave , uninhibited performances by its lead actors .",1
"`` 13 Conversations '' grip its goodwill close , but is relatively slow to come to the point .",0
`` Auto Focus '' operate as an unusual biopic and document of male swingers in the Playboy era,1
"If Mr. Zhang 's subject topic is , to some degree at least , quintessentially American , his approach to storytelling might be address Iranian .",1
... a sour slight movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The flick 's stop has a `` What was it all for ? '',0
